"","fire.1","fire.0","hifire95.1","hifire95.0","hifire90.1","hifire90.0","pixels_burn"
"2008",0.0263504611330698,0.0205075220817049,0,0.000512542727691869,0.00395256916996047,0.00158661833786435,759
"2009",0.0168421052631579,0.0126781552990891,0,0.000357018145275015,0,0.000965959574488851,475
"2010",0.0136986301369863,0.0120164946383028,0,0.000106265619644084,0,0.000313728893106016,292
"2011",0.0307692307692308,0.0117186177349363,0,0.000515574453024517,0,0.000689452298702927,390
"2012",0.0168161434977578,0.00647371428559835,0,7.11943810282177e-05,0,0.000187102508278375,892
"2013",0.0259433962264151,0.0228588206955855,0.00235849056603774,0.000274082314584517,0.00235849056603774,0.000753218974031799,424
"2014",0.0442176870748299,0.0258443556577591,0,5.34685230157783e-05,0,0.000429712804320563,294
"2015",0.032258064516129,0.0124383082224808,0,4.47337839765482e-05,0,0.000131569403632294,403
"2016",0.0449172576832151,0.0374444835665808,0,0.000471045501936179,0,0.00148079383793609,423
"2017",0.0249376558603491,0.0152275109126882,0.00124688279301746,0.00131867024095045,0.00124688279301746,0.00238422745447861,802
