"","fire.1","fire.0","hifire95.1","hifire95.0","hifire90.1","hifire90.0","pixels_burn"
"2009",0.0214899713467049,0.00672031130928262,0,2.27365935578119e-06,0,9.79280405416283e-06,698
"2010",0.05,0.0153861054242229,0,0.000164040760177622,0,0.000247846530568449,300
"2011",0.0214723926380368,0.00824747529214725,0,6.61896725438175e-05,0,0.000177326380286454,326
"2012",0.0294695481335953,0.0120538968072994,0.00196463654223969,0.000584770542080655,0.00196463654223969,0.00078432955332417,509
"2013",0.0308641975308642,0.0214339287975451,0,0.000256246771992257,0.00154320987654321,0.00108853187991029,648
"2014",0.0202839756592292,0.0136338268037351,0,0.000147276860011716,0,0.000460672132659599,493
"2015",0.0206022187004754,0.0134100723428001,0,4.0971250905092e-05,0,0.000283134689700562,631
"2016",0.0244399185336049,0.0242130233236705,0,0.000307954151309821,0,0.000858883820107471,491
"2017",0.0301318267419962,0.0314187289422175,0,0.000542440469333533,0.000941619585687382,0.00215762620257712,1062
"2018",0.0186385737439222,0.0111417043110623,0.000810372771474878,0.000668608822311787,0.000810372771474878,0.000787913735790996,1234
"2019",0.0548245614035088,0.0526627911745392,0,0.00219481476735064,0.00219298245614035,0.00792359043663501,456
"2020",0.0293617021276596,0.0313340432612904,0.000851063829787234,0.00307727572233479,0.00170212765957447,0.0038744327792409,2350
