"","fire.1","fire.0","hifire95.1","hifire95.0","hifire90.1","hifire90.0","pixels_burn"
"2007",0.0106609808102345,0.0118637657268746,0,0.000954877729480252,0,0.00100649630021437,469
"2008",0.00323149236192714,0.00488523018923228,0,0,0,0,3404
"2009",0.0253164556962025,0.0132548966760013,0,1.88853560128992e-13,0,1.88853560128992e-13,474
"2010",0.0268199233716475,0.0168373733387029,0,0.0008213519867159,0,0.00128027884397418,261
"2011",0.0477707006369427,0.0302764454054536,0,0.00131831396177973,0,0.00280831618971308,314
"2012",0.0289156626506024,0.0272420829968128,0,0.000260298704864503,0,0.000608536859802588,830
"2013",0.0350140056022409,0.0510541372774579,0,6.00609872319659e-05,0,0.000621082693350249,714
"2014",0.0190735694822888,0.0322521698278649,0,0.000261433907956349,0,0.000473337544191396,1101
"2015",0.00837628865979381,0.0164169559181729,0,0.00144634035296703,0,0.00160504194967176,1552
"2016",0.0368217054263566,0.0268238485853434,0.00193798449612403,0.000673007267157025,0.00387596899224806,0.00143699039143501,516
"2017",0.00876601483479434,0.00765163604812596,0,0.000113435047216359,0,0.000217802049269936,1483
"2018",0.0935005701254276,0.112888083230096,0.00456100342075257,0.01021851597006,0.00627137970353478,0.0169845231703564,1754
"2019",0.132701421800948,0.148253549858809,0.014218009478673,0.0383025084873249,0.037914691943128,0.0533432216894401,211
